layer,object,kind,defined_in,db_rows,columns,column_names,column_types,published,parquet_rows,parquet_bytes,postgres_rows,sample_row,verdict
2 typed,pulses,table,10_typed.sql,1230,20,session_id page_load_seq client_id srv kind state mode char map t lastTs live held hp kills crows skels soldiers arrows boss,VARCHAR INTEGER VARCHAR BIGINT VARCHAR VARCHAR VARCHAR VARCHAR VARCHAR DOUBLE BIGINT BOOLEAN BIGINT BIGINT BIGINT BIGINT BIGINT BIGINT BIGINT VARCHAR,no,,,,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, 1788101912791, beat, menu, brawl, archer, forest, 0.0, 1366, True, 0, 9, 0, 0, 0, 0, 0, ",ok
2 typed,quarantine,table,10_typed.sql,1,7,relation session_id page_load_seq srv kind reason detail,VARCHAR VARCHAR INTEGER BIGINT VARCHAR VARCHAR VARCHAR,yes,1,1383,1,"landed, 2026-08-30T15-39-43-490Z, 0, 1788104384032, bye, orphan_record_no_hello, record precedes the first hello in its session file",ok
2 typed,raw,view,10_typed.sql,1260,20,cid kind wall href ua dpr srv perf raf vis pulse events msg stack class blockers trace dropped session_date session_id,"VARCHAR VARCHAR BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" MAP(VARCHAR, JSON), code VARCHAR)[] VARCHAR VARCHAR VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x DOUBLE, y DOUBLE, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) BIGINT DATE VARCHAR",no,,,,", hello, 1788101911786, http://localhost/, Chrome, 1, 1788101911788, , , , , , , , , , , , 2026-08-30, 2026-08-30T14-58-28-391Z",ok
2 typed,ref_bosses,view,10_typed.sql,4,2,boss note,VARCHAR VARCHAR,no,,,,"crowking, first boss",ok
2 typed,ref_chars,view,10_typed.sql,5,2,char note,VARCHAR VARCHAR,no,,,,"archer, starting character",ok
2 typed,ref_modes,view,10_typed.sql,3,2,mode note,VARCHAR VARCHAR,no,,,,"brawl, open arena",ok
2 typed,ref_states,view,10_typed.sql,15,4,state is_run_state in_run note,VARCHAR BOOLEAN BOOLEAN VARCHAR,no,,,,"boss_entrance, False, True, boss cutscene",ok
2 typed,sessions,table,10_typed.sql,16,17,session_id session_date page_load_seq client_id has_native_client_id hello_srv hello_wall href ua dpr bye_srv last_srv beats alarms errors ended_cleanly duration_s,VARCHAR DATE INTEGER VARCHAR BOOLEAN BIGINT BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT BIGINT BIGINT BOOLEAN DOUBLE,no,,,,"2026-08-30T14-58-28-391Z, 2026-08-30, 1, 2026-08-30T14-58-28-391Z#1, False, 1788101911788, 1788101911786, http://localhost/, Chrome, 1, 1788102120912, 1788102120912, 209, 1, 1, True, 209.124",ok
2 typed,spans,table,10_typed.sql,4002,9,session_id page_load_seq client_id srv origin span ms ms_max frames,VARCHAR INTEGER VARCHAR BIGINT VARCHAR VARCHAR DOUBLE DOUBLE BIGINT,yes,4002,11625,,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, 1788102043293, alarm_trace, sim, 0.00672268942624581, 0.10000002384185791, 119",ok
2 typed,warehouse_manifest,view,10_typed.sql,1,4,records sessions first_srv last_srv,BIGINT BIGINT BIGINT BIGINT,yes,1,648,,"1259, 16, 1788101911788, 1788125935269",ok
3 curated,alarms_by_class,view,20_curated.sql,3,5,class n page_loads held_keys_seen states_when_raised,VARCHAR BIGINT BIGINT BIGINT VARCHAR[],yes,3,936,3,"logic-freeze, 1, 1, 0, ['playing']",ok
3 curated,clock_skew,view,20_curated.sql,1,5,records skew_min_ms skew_mean_ms skew_max_ms skew_stddev_ms,BIGINT BIGINT DOUBLE BIGINT DOUBLE,yes,1,812,1,"1259, 0, 0.92, 9, 0.591",ok
3 curated,dimension_coverage,view,20_curated.sql,4,4,dimension documented exercised never_seen,VARCHAR BIGINT BIGINT VARCHAR[],yes,4,812,4,"boss, 4, 4, ",ok
3 curated,error_report,view,20_curated.sql,2,6,session_id page_load_seq arrived msg top_frame top_location,VARCHAR INTEGER TIMESTAMP WITH TIME ZONE VARCHAR VARCHAR VARCHAR,yes,2,1420,2,"2026-08-30T14-58-28-391Z, 1, 2026-08-30 16:58:58.203000+02:00, Uncaught Error: flight-recorder self-test, , ",ok
3 curated,frame_time_by_span,view,20_curated.sql,6,6,span samples p50_ms p95_ms max_mean_ms worst_single_frame_ms,VARCHAR BIGINT DOUBLE DOUBLE DOUBLE DOUBLE,yes,6,1192,6,"bodies, 663, 0.11, 0.18, 0.5, 5.9",ok
3 curated,gap_explained,view,20_curated.sql,3,5,explanation gaps shortest_s longest_s total_s,VARCHAR BIGINT DOUBLE DOUBLE DOUBLE,yes,3,1075,3,"VISIBLE THROUGHOUT, not explained by throttling, 1, 472.2, 472.2, 472.2",ok
3 curated,incident_timeline,view,20_curated.sql,6,6,session_id page_load_seq occurred_at event detail s_since_previous,VARCHAR INTEGER TIMESTAMP WITH TIME ZONE VARCHAR VARCHAR DOUBLE,yes,6,1345,6,"2026-08-30T14-58-28-391Z, 1, 2026-08-30 16:58:58.203000+02:00, error, Uncaught Error: flight-recorder self-test, ",ok
3 curated,loss_accounting,view,20_curated.sql,1,6,events_received ids_expected events_lost_by_id_gap peak_events_in_one_beat cap_events_per_beat peak_pct_of_cap,HUGEINT HUGEINT HUGEINT BIGINT BIGINT DOUBLE,yes,1,904,1,"2079, 2079, 0, 32, 400, 8.0",ok
3 curated,session_context,view,20_curated.sql,16,11,client_id duration_s outcome final_state kills hp_first hp_last alarms errors alarm_classes error_messages,VARCHAR DOUBLE VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT BIGINT VARCHAR[] VARCHAR[],yes,16,3159,16,"2026-08-30T14-58-28-391Z#1, 209.1, clean bye, with incidents, playing, 0, 9, 9, 1, 1, ['logic-freeze'], ['Uncaught Error: flight-recorder self-test']",ok
3 curated,session_summary,view,20_curated.sql,16,16,session_id page_load_seq client_id has_native_client_id ua duration_s beats alarms errors kills hp_first hp_min hp_last final_state states_visited outcome,VARCHAR INTEGER VARCHAR BOOLEAN VARCHAR DOUBLE BIGINT BIGINT BIGINT BIGINT BIGINT BIGINT BIGINT VARCHAR BIGINT VARCHAR,yes,16,3708,16,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, False, Chrome, 209.1, 209, 1, 1, 0, 9, 9, 9, playing, 2, clean bye, with incidents",ok
3 curated,srv_gaps,view,20_curated.sql,25,7,session_id page_load_seq prev_srv srv gap_s prev_vis vis,VARCHAR INTEGER BIGINT BIGINT DOUBLE VARCHAR VARCHAR,yes,25,1936,25,"2026-08-30T15-04-51-872Z, 2, 1788102305262, 1788102777416, 472.154, visible, ",ok
4 gold,boss_encounters_by_kind,view,22_gold.sql,4,8,boss_key description encounters progressed died won unresolved sim_active_s,VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT BIGINT DOUBLE,yes,4,1351,,"crowking, first boss, 4, 1, 2, 0, 1, 392.0",ok
4 gold,character_usage,view,22_gold.sql,5,6,character_key description runs sim_active_s best_kills avg_kills,VARCHAR VARCHAR BIGINT DOUBLE BIGINT DOUBLE,yes,5,1082,,"archer, starting character, 2, 246.0, 50, 25.0",ok
4 gold,contract_cap_history,view,22_gold.sql,5,6,cap_key cap_value valid_from valid_to is_current status,VARCHAR BIGINT TIMESTAMP WITH TIME ZONE TIMESTAMP WITH TIME ZONE BOOLEAN VARCHAR,yes,5,1145,,"events_per_beat, 400, 2026-09-10 01:43:59.955646+02:00, , True, in force",ok
4 gold,dim_app_state,table,22_gold.sql,15,4,state_key is_run_state in_run description,VARCHAR BOOLEAN BOOLEAN VARCHAR,no,,,,"boss_entrance, False, True, boss cutscene",ok
4 gold,dim_boss,table,22_gold.sql,4,2,boss_key description,VARCHAR VARCHAR,no,,,,"crowking, first boss",ok
4 gold,dim_character,table,22_gold.sql,5,2,character_key description,VARCHAR VARCHAR,no,,,,"archer, starting character",ok
4 gold,dim_contract_cap,table,22_gold.sql,5,5,cap_key cap_value valid_from valid_to is_current,VARCHAR BIGINT TIMESTAMP WITH TIME ZONE TIMESTAMP WITH TIME ZONE BOOLEAN,no,,,,"events_per_beat, 400, 2026-09-10 01:43:59.955646+02:00, , True",ok
4 gold,dim_member,table,22_gold.sql,9,7,dimension member_key description version_seq valid_from valid_to is_current,VARCHAR VARCHAR VARCHAR INTEGER TIMESTAMP WITH TIME ZONE TIMESTAMP WITH TIME ZONE BOOLEAN,no,,,,"boss, crowking, first boss, 1, 2026-09-12 00:31:40.667597+02:00, , True",ok
4 gold,dim_mode,table,22_gold.sql,3,2,mode_key description,VARCHAR VARCHAR,no,,,,"brawl, open arena",ok
4 gold,fact_boss_encounter,table,22_gold.sql,7,14,encounter_id run_id session_id page_load_seq boss_key character_key started_srv ended_srv duration_s sim_active_s kills_during hp_min next_state outcome,VARCHAR VARCHAR VARCHAR INTEGER VARCHAR VARCHAR BIGINT BIGINT DOUBLE DOUBLE BIGINT BIGINT VARCHAR VARCHAR,yes,7,2808,,"2026-08-30T15-04-51-872Z#2/1/b1, 2026-08-30T15-04-51-872Z#2/1, 2026-08-30T15-04-51-872Z, 2, crowking, ranger, 1788102821420, 1788103122371, 301.0, 300.0, 32, 3, no further state, unresolved",ok
4 gold,fact_run,table,22_gold.sql,6,22,run_id session_id page_load_seq run_seq client_id character_key mode_key maps_visited first_map last_map started_srv ended_srv duration_s sim_active_s kills hp_first hp_min hp_last states_visited bosses_faced ended_on outcome,VARCHAR VARCHAR INTEGER INTEGER VARCHAR VARCHAR VARCHAR BIGINT VARCHAR VARCHAR BIGINT BIGINT DOUBLE DOUBLE BIGINT BIGINT BIGINT BIGINT BIGINT BIGINT VARCHAR VARCHAR,yes,6,4169,,"2026-08-30T14-58-28-391Z#1/1, 2026-08-30T14-58-28-391Z, 1, 1, 2026-08-30T14-58-28-391Z#1, archer, brawl, 1, forest, forest, 1788101933789, 1788102120795, 187.0, 187.0, 0, 9, 9, 9, 1, 0, no further state, unresolved, page load ended first",ok
4 gold,game_summary,view,22_gold.sql,1,11,runs characters_played maps_played total_wall_s total_sim_s avg_run_wall_s avg_run_sim_s max_run_wall_s min_kills max_kills avg_kills,BIGINT BIGINT BIGINT DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE BIGINT BIGINT DOUBLE,yes,1,1672,,"6, 3, 3, 981.0, 892.0, 163.5, 148.7, 337.0, 0, 99, 37.7",ok
4 gold,ref_members,view,22_gold.sql,9,3,dimension member_key description,VARCHAR VARCHAR VARCHAR,no,,,,"boss, crowking, first boss",ok
4 gold,reference_governance,view,22_gold.sql,4,8,dimension members members_in_force versions superseded deepest_history first_seen last_change,VARCHAR INTEGER INTEGER INTEGER INTEGER INTEGER TIMESTAMP WITH TIME ZONE TIMESTAMP WITH TIME ZONE,yes,4,1292,,"boss, 4, 4, 4, 0, 1, 2026-09-12 00:31:40.667597+02:00, 2026-09-12 00:31:40.667597+02:00",ok
4 gold,reference_history,view,22_gold.sql,9,8,dimension member_key version_seq description valid_from valid_to is_current status,VARCHAR VARCHAR INTEGER VARCHAR TIMESTAMP WITH TIME ZONE TIMESTAMP WITH TIME ZONE BOOLEAN VARCHAR,yes,9,1572,,"boss, crowking, 1, first boss, 2026-09-12 00:31:40.667597+02:00, , True, in force",ok
4 gold,run_outcomes,view,22_gold.sql,3,5,outcome runs avg_wall_s avg_sim_s best_kills,VARCHAR BIGINT DOUBLE DOUBLE BIGINT,yes,3,922,,"died, 3, 149.0, 120.7, 99",ok
4 gold,run_pulse,table,22_gold.sql,785,16,run_id session_id page_load_seq run_seq client_id srv state character_key mode_key map boss_key kills hp in_run is_run_state held_s,VARCHAR VARCHAR INTEGER INTEGER VARCHAR BIGINT VARCHAR VARCHAR VARCHAR VARCHAR VARCHAR BIGINT BIGINT BOOLEAN BOOLEAN DOUBLE,no,,,,"2026-08-30T14-58-28-391Z#1/1, 2026-08-30T14-58-28-391Z, 1, 1, 2026-08-30T14-58-28-391Z#1, 1788101933789, playing, archer, brawl, forest, , 0, 9, True, True, 1.014",ok
